,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carnarvon,-24.8667,113.6333,298.15,100,40,3.6,AU,1613163872
1,upernavik,72.7868,-56.1549,255.14,80,0,3.04,GL,1613163651
2,zyryanka,65.75,150.85,239.5,85,95,1.77,RU,1613163794
3,severo-kurilsk,50.6789,156.125,270.47,95,80,4.8,RU,1613163869
4,cape town,-33.9258,18.4232,294.82,83,0,7.72,ZA,1613163482
5,faya,18.3851,42.4509,288.15,72,0,2.57,SA,1613163797
6,dunedin,-45.8742,170.5036,288.15,76,100,9.39,NZ,1613163873
7,albany,42.6001,-73.9662,265.93,34,89,1.94,US,1613163770
8,ukiah,39.1502,-123.2078,286.48,67,75,3.6,US,1613163873
9,yarada,17.65,83.2667,293.15,94,50,1.03,IN,1613163873
10,botwood,49.1499,-55.3482,272.04,81,100,2.24,CA,1613163873
11,oranjemund,-28.55,16.4333,291.92,84,74,5.15,NA,1613163874
12,vaini,-21.2,-175.2,302.15,79,75,3.6,TO,1613163874
13,san cristobal,7.7669,-72.225,303.15,51,40,5.14,VE,1613163874
14,khorinsk,52.1657,109.7726,247.33,84,1,2.52,RU,1613163874
15,rikitea,-23.1203,-134.9692,299.85,72,42,4.4,PF,1613163874
16,new norfolk,-42.7826,147.0587,288.71,65,46,0.89,AU,1613163874
17,ancud,-41.8697,-73.8203,294.15,49,0,3.09,CL,1613163738
18,hofn,64.2539,-15.2082,277.93,73,100,9.12,IS,1613163761
19,kaitangata,-46.2817,169.8464,287.59,81,87,2.68,NZ,1613163822
20,bereda,43.2686,-7.5406,282.59,95,100,2.68,ES,1613163875
21,loiza,18.4313,-65.8802,301.15,57,40,6.69,PR,1613163875
22,husavik,66.0449,-17.3389,270.15,74,0,2.06,IS,1613163876
23,esperance,-33.8667,121.9,286.15,88,19,1.54,AU,1613163666
24,porto santo,33.072,-16.3415,289.15,77,0,2.57,PT,1613163876
25,castro,-24.7911,-50.0119,291.82,93,99,0.45,BR,1613163876
26,lumding,25.7535,93.1732,287.68,72,0,0.52,IN,1613163876
27,tuktoyaktuk,69.4541,-133.0374,254.15,78,75,4.12,CA,1613163756
28,pangnirtung,66.1451,-65.7125,251.15,84,20,1.54,CA,1613163824
29,butaritari,3.0707,172.7902,300.35,83,44,4.69,KI,1613163675
30,mar del plata,-38.0023,-57.5575,294.82,94,90,7.2,AR,1613163764
31,ushuaia,-54.8,-68.3,289.15,36,40,9.26,AR,1613163582
32,kaeo,-35.1,173.7833,294.26,69,0,1.79,NZ,1613163878
33,port alfred,-33.5906,26.891,295.93,95,65,3.58,ZA,1613163758
34,douala,4.0483,9.7043,300.77,79,46,2.53,CM,1613163878
35,gold coast,-28.0,153.4333,298.15,69,92,5.66,AU,1613163613
36,yellowknife,62.456,-114.3525,249.26,76,1,1.03,CA,1613163878
37,coihaique,-45.5752,-72.0662,298.15,25,0,5.14,CL,1613163780
38,amapa,1.0,-52.0,298.84,95,81,1.45,BR,1613163821
39,ketchikan,55.3422,-131.6461,275.15,32,1,8.75,US,1613163879
40,sembakung,3.8167,117.25,296.4,98,100,1.05,ID,1613163879
41,jamestown,42.097,-79.2353,271.48,46,1,1.54,US,1613163879
42,puerto ayora,-0.7393,-90.3518,301.15,74,75,3.6,EC,1613163879
43,bathsheba,13.2167,-59.5167,301.15,57,40,9.26,BB,1613163880
44,ribeira grande,38.5167,-28.7,289.15,77,40,10.29,PT,1613163880
45,puerto escondido,15.85,-97.0667,301.15,74,20,5.14,MX,1613163881
46,chuhar kana,31.75,73.8,285.15,100,90,1.44,PK,1613163881
47,east london,-33.0153,27.9116,298.82,79,67,4.69,ZA,1613163652
48,busselton,-33.65,115.3333,287.04,89,0,4.23,AU,1613163657
49,komsomolskiy,40.4272,71.7189,282.15,46,100,3.09,UZ,1613163881
50,mehran,33.1222,46.1646,279.15,65,0,2.06,IR,1613163882
51,punta arenas,-53.15,-70.9167,288.15,47,0,5.66,CL,1613163882
52,cherskiy,68.75,161.3,240.02,76,0,0.48,RU,1613163865
53,mataura,-46.1927,168.8643,287.04,88,100,0.45,NZ,1613163827
54,katsuura,35.1333,140.3,280.15,76,75,2.06,JP,1613163883
55,pisco,-13.7,-76.2167,302.15,54,0,7.2,PE,1613163883
56,sawtell,-30.3833,153.1,296.15,78,75,3.6,AU,1613163883
57,verkhniy avzyan,53.5289,57.5372,273.03,98,98,2.43,RU,1613163883
58,srednekolymsk,67.45,153.6833,239.61,82,0,2.84,RU,1613163883
59,katangli,51.7102,143.2326,262.66,97,100,2.07,RU,1613163883
60,brae,60.3964,-1.353,275.15,51,90,11.32,GB,1613163884
61,luderitz,-26.6481,15.1594,291.97,80,3,3.41,NA,1613163805
62,curup,-3.4667,102.5333,294.15,93,100,0.99,ID,1613163884
63,jiuquan,39.7432,98.5174,273.37,78,58,0.85,CN,1613163795
64,avarua,-21.2078,-159.775,301.15,74,40,2.06,CK,1613163768
65,belfast,54.5833,-5.9333,274.26,64,75,7.2,GB,1613163687
66,kapaa,22.0752,-159.319,297.59,64,20,4.63,US,1613163885
67,port augusta,-32.5,137.7667,292.15,68,90,5.66,AU,1613163885
68,saint-georges,12.0564,-61.7485,301.15,69,75,9.26,GD,1613163885
